collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size,egg_1,egg_2,egg_3,time,rank,ctmax
8/16/2023,Sacandaga Lake,1,2,leptodiaptomus_minutus,morphological,,40,12,,0.654,,,,38.2,6,33.75892857
8/16/2023,Sacandaga Lake,1,3,leptodiaptomus_minutus,morphological,,45,52,,0.65,,,,43.86666667,3,34.77083333
8/16/2023,Sacandaga Lake,1,4,leptodiaptomus_minutus,morphological,,48,22,,0.581,,,,46.36666667,1,35.22916667
8/16/2023,Sacandaga Lake,1,5,leptodiaptomus_minutus,morphological,,42,1,,0.475,,,,40.01666667,4,34.1125
8/16/2023,Sacandaga Lake,1,6,leptodiaptomus_minutus,morphological,,41,18,,0.528,,,,39.3,5,33.96180556
8/16/2023,Sacandaga Lake,1,7,leptodiaptomus_minutus,morphological,,46,17,,0.66,,,,44.28333333,2,34.84722222
9/10/2023,Lake Temiscouata,1,1,epischura_lacustris,morphological,,53,42,,0.991,,,,51.7,9,33.28977273
9/10/2023,Lake Temiscouata,1,2,leptodiaptomus_minutus,morphological,,62,54,,0.569,,,,60.9,2,35.10416667
9/10/2023,Lake Temiscouata,1,3,leptodiaptomus_minutus,morphological,,57,29,,0.634,,,,55.48333333,5,34.0625
9/10/2023,Lake Temiscouata,1,4,leptodiaptomus_minutus,morphological,,54,20,,0.634,,,,52.33333333,8,33.4212963
9/10/2023,Lake Temiscouata,1,5,leptodiaptomus_minutus,morphological,,50,46,,0.717,,,,48.76666667,10,32.68576389
9/10/2023,Lake Temiscouata,1,6,leptodiaptomus_minutus,morphological,,56,18,,0.707,,,,54.3,6,33.82142857
9/10/2023,Lake Temiscouata,1,7,leptodiaptomus_minutus,morphological,,61,18,,0.683,,,,59.3,4,34.80833333
9/10/2023,Lake Temiscouata,1,8,leptodiaptomus_minutus,morphological,,55,46,,0.597,,,,53.76666667,7,33.70833333
9/10/2023,Lake Temiscouata,1,9,leptodiaptomus_minutus,morphological,,62,6,,0.628,,,,60.1,3,34.953125
9/10/2023,Lake Temiscouata,1,10,leptodiaptomus_minutus,morphological,,64,15,,0.682,,,,62.25,1,35.375
9/10/2023,Lake Temiscouata,2,1,leptodiaptomus_minutus,morphological,,31,38,,0.629,,,,29.63333333,3,33.80555556
9/10/2023,Lake Temiscouata,2,2,leptodiaptomus_minutus,morphological,,19,8,,0.668,,,,17.13333333,10,31.17881944
9/10/2023,Lake Temiscouata,2,3,epischura_lacustris,morphological,,25,16,,0.596,,,,23.26666667,9,32.45265152
9/10/2023,Lake Temiscouata,2,4,leptodiaptomus_minutus,morphological,,25,49,,0.627,,,,23.81666667,8,32.56944444
9/10/2023,Lake Temiscouata,2,5,leptodiaptomus_minutus,morphological,,32,2,,0.681,,,,30.03333333,2,33.875
9/10/2023,Lake Temiscouata,2,6,leptodiaptomus_minutus,morphological,,26,48,,0.652,,,,24.8,6,32.79761905
9/10/2023,Lake Temiscouata,2,7,leptodiaptomus_minutus,morphological,,29,44,,0.672,,,,27.73333333,4,33.40625
9/10/2023,Lake Temiscouata,2,8,leptodiaptomus_minutus,morphological,,29,19,,0.677,,,,27.31666667,5,33.30555556
9/10/2023,Lake Temiscouata,2,9,epischura_lacustris,morphological,,26,38,,0.5,,,,24.63333333,7,32.75260417
9/10/2023,Lake Temiscouata,2,10,leptodiaptomus_minutus,morphological,,34,1,,0.679,,,,32.01666667,1,34.26041667
